Year,Total Assets,Investment Portfolio,Total Liabilities,Endowment,Total sponsored support,Fed Gov Support – Direct Costs,Salaries/Wages,Scholarships/Student Awards,Endowment Net Change,Total Endowment Gifts,Net Investment Return,Total Student Income,sandp,domequity,forequity,emergequity,privequity,dombond,forbond,inflabond,hybond,liqcomm,realest,absreturn,cash,globalequity,realasset,natresources
2020-2021,74676115000,61141750000,11301041000,53165753000,926687000,442268000,2076665000,160744000,11271373000,465019000,10793179000,888284000,4273.41,4311314000,2154920000,4562151000,20688062000,2399417000,1920000,1156229000,275622000,,2907096000,18030872000,1340261000,2351562000,,464278000
2019-2020,61462439000,48111441000,11292723000,41894380000,917521000,436552000,2131511000,163618000,964680000,469203000,677675000,1070516000,3217.86,3615658000,1867503000,3256427000,11047118000,2712900000,20729000,935440000,267728000,,3209643000,15515652000,1183983000,1542236000,,1329924000
2018-2019,59327153000,46723970000,10050667000,40929700000,937390000,448832000,2038478000,155874000,1695964000,613287000,418265000,1200838000,2913.36,3593481000,2293307000,3228061000,10255754000,1505039000,25597000,871832000,237008000,,3610419000,14592876000,1335905000,1660465000,,1914055000
2017-2018,56748281000,45647599000,9784097000,39233736000,914236000,453084000,1943836000,152421000,2137262000,646299000,1510836000,1122065000,2746.21,4990487000,2401770000,2562035000,8527921000,1505967000,25141000,847163000,145132000,,4005056000,12814216000,1407841000,2008253000,,2254809000
2016-2017,53720063000,43275926000,9633984000,37096474000,885535000,452852000,1885692000,147555000,1430731000,550529000,864574000,1054224000,2449.08,4674449000,1552165000,1310664000,7629888000,2067679000,28378000,825719000,875295000,,5392029000,7964081000,3422154000,1239346000,,2869953000
2015-2016,76904354000,51632578000,33506941000,35665743000,845455000,435778000,1806280000,142070000,1949802000,491983000,2332236000,998398000,2094.65,5303559000,1828114000,2950409000,7125969000,12006907000,3625651000,1950290000,341553000,,10654489000,6064707000,861949000,,,3955384000
2014-2015,75206509000,54659156000,29804383000,37615545000,805821000,418832000,1710768000,135693000,1186289000,338487000,362427000,929929000,2061.07,6313333000,2591172000,3743452000,7257750000,8557087000,3206849000,1105023000,477832000,,8653859000,6164896000,597076000,,,4283935000
2013-2014,69810413000,53308477000,25952754000,36429256000,819213000,446270000,1640390000,129974000,3739767000,512853000,3149488000,877644000,1931.38,5592535000,2627127000,3337388000,7367183000,6509373000,3337388000,719239000,785001000,,7099602000,5632820000,520060000,,,4709950000
2012-2013,74209807000,52805403000,35152599000,32689489000,844757000,479527000,1553096000,136630000,1943955000,222686000,1767876000,814715000,1643.8,5051705000,1985000000,2658377000,7271038000,5694840000,2658377000,749993000,1477559000,,5948080000,5114051000,457185000,,,3978822000
2011-2012,57714643000,43385126000,21060212000,30745534000,832624000,493003000,1497928000,128993000,1267195000,226494000,1421664000,776764000,1379.61,3510380000,1771081000,2959047000,7095625000,5232751000,1774283000,919081000,1557938000,,,4751754000,750733000,,10156008000,
2010-2011,61215298000,46760472000,23352021000,32012729000,851827000,509958000,1420023000,116510000,4447700000,212364000,4308354000,740573000,1267.64,3806649000,2062218000,2411371000,7262271000,4982365000,3112809000,1303314000,1634649000,,,5033413000,941141000,,8816619000,
2009-2010,48234075000,36701525000,16499142000,27557404000,776777000,463009000,1363348000,122021000,1419165000,240793000,1309696000,711838000,1139.97,3046746000,1717654000,2793060000,6282894000,3116566000,1382271000,1681589000,1517709000,,,5286057000,935128000,,6222894000,
2008-2009,45003765000,34759859000,14863479000,26035389000,713638000,419658000,1384626000,122479000,10891304000,194459000,10888266000,678353000,948.05,2984608000,1314426000,2704521000,5482466000,1908280000,1429341000,1633303000,1705432000,,,5146719000,3648580000,,5648022000,
2007-2008,64103055000,50756944000,19938848000,36926693000,668426000,398084000,1298604000,110532000,2014625000,336059000,1881713000,681995000,1220.04,5085000000,5143000000,4304000000,5163000000,1838000000,1331000000,3042000000,865000000,4217000000,3438000000,8298000000,2296000000,,,
2006-2007,58323345000,46616888000,16330957000,34912068000,641934000,376415000,1203209000,108588000,5692638000,277626000,5480178000,657627000,1477.18,7266000000,5932000000,4595000000,4156000000,2694000000,1351000000,2679000000,641000000,5725000000,2722000000,5063000000,2071000000,,,
2005-2006,44342142000,35860744000,9403643000,29219430000,634230000,378466000,1126322000,99574000,3366382000,273381000,3077755000,616121000,1310.46,5730000000,5189000000,2722000000,2968000000,3299000000,1276000000,1535000000,1724000000,2887000000,2518000000,4917000000,1293000000,,,
2004-2005,55529922000,26418985000,24971501000,25853048000,626440000,367600000,1093179000,94116000,3265743000,285659000,3011150000,586464000,1207.23,5332000000,3848000000,1782000000,2358000000,2411000000,1192000000,1589000000,1831000000,3675000000,1940000000,3837000000,417000000,,,
2003-2004,60062047000,24472444000,33124806000,22587305000,589169000,342026000,1036028000,89414000,3292570000,257767000,3052556000,556301000,1130.65,4779000000,3447000000,1829000000,1968000000,1708000000,826000000,1446000000,1497000000,2986000000,1420000000,2907000000,595000000,,,
